from,amount
PAPZFFMC4FXBJ54OKBAJSAQ34FKRW7KLQTYUNTJTV3I6PO37CUQDJTW2BA,0
BBHTP2POLRGWUZTGQ36PMJ4T4TNZMX42F2FEX6LY6BLLFC2L6XIAJKNZ24,544046
WMJZYDEWJLYVZYIPW55TKM5BBC4YWRST2M4MOBU5XTISSHIY4PZVH3CNIA,1000000
THGUJR7LP4B5JWLKB5D24TQTVKAYORKVXXO7VTPKUHC6EDCABRGMAFV564,17000000
PZM2YC5YER6DYGF3COSEZNB2DXGXZ5NQOY2Y3GTVVF6EWTZVNJZ6EAGY7U,1067300
DY6TCA2FAKCG7KRUMQ442V3WT547LUZPTHEOBJ7P4OL2AQMKGOTXQCIC3E,5100000
ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE,130000
ITOIYLGDXAS3AT5TVFMD2OU4L7Q5FZOFMJK7T3C3AX4O75RQGPFDL4UPZE,100
4JH67XOJPXYJCD2O4A3BXFRBLDHKCYWQAPG6MFAMVQDHOKROADQZYYKIAA,500000
IJLFVZSRNSUWEBMG2EQYVHTHA7CF6J4CM3CFPT3EUDTQ5SR7DAB3HDTI64,1100000
ZOQEBPXOSAD3KCF6K36YTTOGIXS7N7KGU7WAF2INZ76PMNOVAQXYGITHIM,290000
DNSXPZ6XURDW7KNTPZR2E73APNHOBJREZY5YRHDE7CPTH75I7Y36WTKAAY,2614200
ZO5FZCQWF32B6E2GRCLL5GOFVWHTCGAYWX53NSN5MTKKZXUD5IL3WPBZFE,25133000
ZO5FZCQWF32B6E2GRCLL5GOFVWHTCGAYWX53NSN5MTKKZXUD5IL3WPBZFE,100
FXPNBBP2D4FEC3KXJOECWIQVJVXS5GY5EEQMSFLWFR5E6EES3HA4DRML64,6000000
RZ65BIVBOCOET7HV5I7VT3E2QN5NZRDRLQYSYX2MR2ORQZUCD46UHAO2BQ,8889276
NPYBQ2CX2NS6AMNWTPCHYV4H3EJ65MNCQD34NEIQRYQLL3GQ3AWVREDLMY,1300000
K7QHCXXQRRTLRUPO54SJIWRA3SEGS2JWH6ZRWKAY75DRVNZJPK3Y34VYK4,2770000
ETUQ6XIRWPW6FMIAFRUDRCAOQ4CJXCED3AENATZOYZSE4ZLZ4YGI435PX4,10597000
Z2GKR7XRSNJJJV36Z7C6P7CKMPP3XPNBR3E7KK523UH4L74UUIJKPF37LY,13457000
Z2GKR7XRSNJJJV36Z7C6P7CKMPP3XPNBR3E7KK523UH4L74UUIJKPF37LY,100
LU5NV52KENVJBOLVUONXR7KV7RBY4EVLZFK4E5EH2E335SWCQF6UXH4YA4,164800
C2HXI5ET7WQSHJLM5NATLYMK6RF3PONWTCRJYWAJ2PLE2YI2NH5CXPTC34,236200000
NRVTOGF35BCQIRNAH5DPW34E32UCHIBPO6PIIK6ZZ27NNQPRX5BDN2LF7U,7000000
3KDHBKFOMD2FSPUMCQNEMXOJECDA5JSC7S57GGZZMHMCE6RKXVL45RG53Q,5688
ZE4Z4PMCJSH7SC5QVRIEDKCZR4I3LLCKRZZMWI3YHLCWP6IRSJK7I7KB7M,46800000
IPW63JCG4KVY4OB2CPT4P2PXBIQF76JV5LWZGLD26NNTQ3OHV2LW7SXGD4,250000
IRFAF4HC6L4CZUGTN6JI2OKNGCLGAX4Y5FEJLMZMSZ5GTX53BNZXOKHZHA,1957100
IWZKYZ53HXTA3BNRT2HKM4RVFNOB6NKOBTSZZJX5YEYIACZOFVVO77SIY4,3393300
PSX7LW6WCBNKS6YDEUABNGZTPHYHH3HAZSWNOSNGH5IDUR3WLHZG33OSFY,100
PSX7LW6WCBNKS6YDEUABNGZTPHYHH3HAZSWNOSNGH5IDUR3WLHZG33OSFY,100
PSX7LW6WCBNKS6YDEUABNGZTPHYHH3HAZSWNOSNGH5IDUR3WLHZG33OSFY,100
MDXSG5YFIYYHFLDYMWNKV5GX2MRVTRYFZ5C3TMI372E2ANH2SJSIQ5JTEM,29511
L434WO2LRIJD2N3M5XZDKEMQ52SJHWFRKTBMNVGFYKMZBMX2Q4VC2EZ6VA,290900
2M4WWWGXV3YUAH23UGCFGJXAYQ4PL5B5CUDRUR3DOZ22IPVY23GZ7FJJ2A,100
Q4H4AEV7YITN4M5YPKGYYFNHDUHX5IG6YSX22L33P3GSSXFYP4QZZRMUUA,1153500
ITDYBTEGOKYICCX46OX3SXZVUYX5PKMPQEIEVWKCDDC5SBRWNCNIOJ5ILU,1906700
XUPVW4543UMWQ6CINCTMG5UQBDR4JE5ENJQYFAFPYF3AQ3YKJVCYUPPSYI,500000
Q5VDRHYRW4ENOSGIKGFE4HGSLVCNBQPDCMGZ5NX7NOEKKH2K7XI7KQDR6I,343500
PS6EN2XCP43YFRIMUOL4XWHR43JPKYDU2V3YFDH54AV2R5WNEZQP7SOX3I,6724300
E2KKHGPZBRWOXW3PKWBQZTQAHA2XUDOFKVGLUTUTOZTURW2ZICWMS67E6Y,24000000
2OMNHESNVGIXPJCWZR7EUEHKVKIH33FYAGMUMEYLLOB24Z4G22NS5V5OEQ,17100
UD32W7R2XW6SYUQTOPPPNMM25MVZQMN6X4VYODTL5TUNYNUKY3UVUPVFPU,100
5O5DOQKNJC63WHWLZGZLEYRMFQ3R3ZWSL5P573DZGGJ5SAF7UBZ7K3ERSM,3856900
FJONXN5PP2C36XVVNG3KCNXWLTADA7A232TCTIVTOZ3UHR77V6SQYYIMZA,80297
BZJV2ZPTCCWN2GJSIDUFGGWRCMTRIBM64OTJNH6T4WSW6ZTWVVPMFV24RY,1872100
DT62D3ELFAZHYCVILIEGWQY27I4BO4EZRKL3Z2WM5FJZL7KM56MWYX2XRI,159000
ACKDIF3VPPBTLY7KGDAOKVSQDZ2LRQ7THEMZP7IAUTKWCEX6L6YCPY6BFY,1640400
Y3XCJSDKWVZTHKVDAYW2GCKLFQHZOBXDMEUVZRJRSKBHBSB4HN5VYUI3BI,63000
FJTDYK3TLSKIB5ZOKLRZPNG6YTTGYMIFHP7HVI6VOVWVNBH3IYNLAQBNGA,161600
GVKWT3TYRBELEHDJA2UKN4PNWKG6THB4S5623BDKBIL6UCGYMN2OXYXNEM,635000
GVKWT3TYRBELEHDJA2UKN4PNWKG6THB4S5623BDKBIL6UCGYMN2OXYXNEM,2500000
AC63V7LIVS2FGKDSCDQFW3NMO5X6DMC7M4PJ7YJTRX7RBF3UZENU24WWBU,1602300
Y264Q4BPVGMN4FTLPSZHSMUBBUNJBYPARAFZAJSHBKIEMNZRZRSECHQFXY,200
DMUK4WNB2WMUIYR5M7DZXOFQPRK43KVMLJF7VMGKO5LKNQUUJCX7ARAVSE,100000
5MPYZCD3QVYPN7VOM5RMKTWVBZH6UKMXVEKGH4OIMDNAUBPQ5ONLK2HIDY,100
MJYU6K5K2NI7PCRPADG5I52QB7RME3UJN7ZY2IVBQL24UVOW3V2BT6GFV4,40000
CRCFWE6DKSQJHHZ3BYS3SNTZQTTMK32WLAAW7TZ6CCTDECMS43SFULI74E,261000
JKYU5BUSOIBUZJRIQTVEGVJDUDINDY7LL5HV4PWKJ7B7OAA6VL3LNKDZF4,135000
WTMN4234KHMRYFUHCZQWMCNSSYS54THDTN5TEXEQVIHX4AV62TR5TVRROI,3249700
RUKUTIGFENRTEXSU2U7XI3AU6UXYPHE4DW2F3NODYQZQ5JEW3EQHUODPXQ,1600000
LGWLJKUB3OXAC4QBBAX34NE2KQENVNUTP7RXM67M6F6KDCO3GCZRWQONQM,18300
HRIM3PIUAQFAG5VQCUYGJQOLSKHPAGEODDTA7A7M3KAGVRRYLXUHXABW3A,6535300
OBMGNXMMUX5GAB2H3YEDHZLIP6Z6MTDM5J4QQGN4Y26SMFEIFH2UYTH5NQ,62800000
XT3UYNNJDDBHXVJNTKVTLJX3HZSNLEBW627UFG2A45CEU7W6OVFIEAYYUA,100
2QLM3ZDPYOKTKSA7H2K3Q6S6BMH2XERCI3MDTHY3PGCWOBCWW5BZK3MYCU,1060000
5ZXWUKH4GSX4VGEGNZSOSRNXU4JV5CYW3AVF2YQB7OTQ4CCAR27ATLNAHM,148700
HXB6AKQUUTNBIG3MINJZXJ7SRTVGYJJXKF3UD4AFYMPVUQJ6J4QVSMWCNM,275700
HHMXM4WJHBX45BAXXDSOBA5JZ3BYFO5V5G7MSEK6NF2VH6TATMNZZMAOOY,1870082
YZLSQRXX2INSSFKJMS3WVGWVWECWB56PU67TXEOOZY4RB4TI4ZTBJXDNDA,129200
UWCVYMQSBPKSKUXSLMRTISERYNAY7NRSSB4VD4JTPIUTCCTUKVYJFNACAE,8500000
ISDPL7Q23UJWI4XT4QKAUYN26HCIGDVTJPEQW3EHUKXLTH3VZAQ7VIRBWI,25500
GTMR2BH2VEHIUGM7WMTHDTMKTQUW4CNVEMNQTADXY2MEJN57LRLPX3KVHQ,22585
6NAWHUHR7KT3QAGD5MNUJBK75I6HL522OY3O6P3N2CCQYSFKVIKR5RSUFE,300000
